ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,Order,Stimulus,SearchOrCount
cass1,2,42,12012,12036,26,1142.2,693.8,1117.3,600.4,167.55,93.65,FALSE,DOWN,2.47,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,43,12228,12260,34,1126.2,604.7,1021.6,778.3,296.9,151.57,FALSE,UP,5.02,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,44,12784,12840,58,1011.3,754.7,1101.3,297.20000000000005,503.97,218.99,FALSE,DOWN,11.63,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,45,13114,13156,44,1074.4,274.6,1358.6,301.9,333.84,146.88,FALSE,RIGHT,5.7,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,46,13252,13292,42,1362.8,303.9,932.2,146.5,429.5,221.23,FALSE,LEFT,9.3,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,47,13610,13626,18,937.6,139.5,880,135.20000000000005,95.25,57.76,FALSE,LEFT,1.15,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,48,13856,13884,30,889.2,134.89999999999998,705.7,124.79999999999995,229.68,119.82,FALSE,LEFT,3.65,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,49,14202,14220,20,715.7,115,766.2,162.60000000000002,112.51,72.43,FALSE,UP,1.49,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,50,14728,14766,40,759.3,146,866.8,380.29999999999995,352.69,154.35,FALSE,UP,5.99,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,51,14968,14988,22,869.8,370.1,833.7,476.79999999999995,205.47,122.9,FALSE,UP,2.76,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,52,15174,15330,158,820,472,808.5,466.20000000000005,1346.11,449.25,TRUE,NA,0.28,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,53,16098,16126,30,805.2,503.79999999999995,613.2,510.5,248.36,132.84,FALSE,LEFT,4,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,54,16374,16404,32,607.2,500.9,370.3,504.70000000000005,299.26,152.52,FALSE,LEFT,4.86,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,55,16710,16728,20,386.4,498.70000000000005,325.4,489.20000000000005,93.71,58.78,FALSE,LEFT,1.26,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,56,16824,16874,52,340.3,499.20000000000005,696.6,728.3,554.51,207.73,FALSE,RIGHT,9.41,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,57,17144,17160,18,722.6,732.1,727.5,686,99.22,65.07,FALSE,DOWN,1.21,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,58,17458,17504,48,734.5,665.2,1089.9,615.2,445.22,181.92,FALSE,RIGHT,7.59,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,59,17830,17868,40,1097.9,597.7,1149.7,783.4,275.21,131.91,FALSE,UP,4.93,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,60,18154,18186,34,1139.9,781.3,1226.5,610.3,331.85,155.77,FALSE,DOWN,4.78,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,61,18346,18390,46,1228.6,605.4,987,778.8,349.17,162.01,FALSE,LEFT,6.77,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,62,18722,18740,20,963.4,782.6,999.8,777.6,70.82,39.94,FALSE,RIGHT,0.78,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,63,19008,19044,38,996,782.7,821.3,711,318.09,131.37,FALSE,LEFT,4.16,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,64,19318,19364,48,809.5,712.8,1111.4,345.1,575.24,250.86,FALSE,DOWN,11.19,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,65,19746,19774,30,1120.5,332.70000000000005,941,201,313.71,158.53,FALSE,LEFT,4.79,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,66,20000,20184,186,923.4,185,879.9,149.60000000000002,1182.89,306.88,TRUE,LEFT,1.2,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,67,20504,20524,22,892.8,154.29999999999995,929.1,174.39999999999998,78.46,46.32,FALSE,RIGHT,0.86,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,68,20672,20698,28,928.5,169.70000000000005,726.3,124.60000000000002,267.53,147.1,FALSE,LEFT,4.16,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,69,20956,20984,30,714.2,120.60000000000002,638.7,256,210.34,115.05,FALSE,UP,3.5,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,3,1,186,214,30,641.9,246.70000000000005,455.5,287.9,242.21,127.71,FALSE,LEFT,3.87,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,2,440,490,52,450.6,283.1,891.5,281.6,481.3,199.37,FALSE,RIGHT,8.88,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,3,960,998,40,907,290,1082,127.10000000000002,347.65,144.85,FALSE,DOWN,5.19,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,4,1172,1212,42,1088.8,113.10000000000002,749.4,328.4,356.55,205.62,FALSE,LEFT,8.48,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,5,1420,1472,54,748.6,331,894.1,758.1,485.67,228.28,FALSE,UP,11.22,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,6,1832,1870,40,881.4,772.2,1043,559.5,383.12,174.96,FALSE,DOWN,6.48,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,7,2048,2102,56,1049.6,549,807.6,943.5,570.25,244.5,FALSE,UP,11.46,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,8,2478,2512,36,792.2,956.2,788.9,859,232.39,99.83,FALSE,DOWN,2.58,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,9,2714,2766,54,797.1,842.2,411,714,444.11,182.42,FALSE,LEFT,8.79,RIGHT,Visual foraging,1,fjord.jpg,Search
cass1,3,10,2894,2940,48,391.8,705.2,52.2,634.4,378.92,167.82,FALSE,LEFT,7.05,RIGHT,Visual foraging,1,fjord.jpg,Search
